X_Value	FRF Magnitude 1	FRF Magnitude 2	FRF Magnitude 3	FRF Phase 1	FRF Phase 2	FRF Phase 3	Coherence 1	Coherence 2	Coherence 3	Response Function FFT (Mag) 1	Response Function FFT (Mag) 2	Response Function FFT (Mag) 3	Response Function FFT (Phase) 1	Response Function FFT (Phase) 2	Response Function FFT (Phase) 3	Transmissibility Magnitude 1	Transmissibility Magnitude 2	Transmissibility Phase 1	Transmissibility Phase 2	Bode Amplitude Ratio 1	Bode Amplitude Ratio 2	Bode Amplitude Ratio 3	Bode Phase 1	Bode Phase 2	Bode Phase 3	Comment
5.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.049476	0.000000	0.000000	0.936101	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
5.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.009000	0.000000	0.000000	2.822175	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
5.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.009493	0.000000	0.000000	2.559870	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
5.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.010512	0.000000	0.000000	2.479571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
5.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.012305	0.000000	0.000000	2.298821	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
5.500000	6.928071	0.000000	0.000000	-1.727662	0.000000	0.000000	1.000000	NaN	NaN	0.267597	0.000000	0.000000	-0.139587	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	16.812247	-Inf	-Inf	-98.987718	0.000000	0.000000
5.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.008855	0.000000	0.000000	1.964235	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
5.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.008665	0.000000	0.000000	1.528323	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
5.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.006986	0.000000	0.000000	1.553582	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
5.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.005839	0.000000	0.000000	1.643179	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
6.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.083726	0.000000	0.000000	2.163113	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
6.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.006219	0.000000	0.000000	1.290740	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
6.200000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.007602	0.000000	0.000000	1.260181	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
6.300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.007257	0.000000	0.000000	1.250565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
6.400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.007644	0.000000	0.000000	1.130859	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
6.500000	1.486716	0.000000	0.000000	-2.868777	0.000000	0.000000	1.000000	NaN	NaN	0.039590	0.000000	0.000000	1.864032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.444561	-Inf	-Inf	-164.368834	0.000000	0.000000
6.600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.004054	0.000000	0.000000	0.823099	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
6.700000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.003721	0.000000	0.000000	0.949186	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
6.800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.003882	0.000000	0.000000	0.793877	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
6.900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.003477	0.000000	0.000000	0.915143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
7.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.014302	0.000000	0.000000	-1.038336	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
7.100000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.003179	0.000000	0.000000	0.790650	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
